Year,Branch,Enrollment
2005,Computer Science,1541
2005,Mechanical,1047
2005,Electrical,1010
2005,Civil,911
2005,Chemical,721
2005,Electronics,954
2005,Aerospace,359
2006,Computer Science,1484
2006,Mechanical,1038
2006,Electrical,1026
2006,Civil,958
2006,Chemical,713
2006,Electronics,998
2006,Aerospace,360
2007,Computer Science,1559
2007,Mechanical,1076
2007,Electrical,1111
2007,Civil,963
2007,Chemical,757
2007,Electronics,977
2007,Aerospace,354
2008,Computer Science,1577
2008,Mechanical,1044
2008,Electrical,1069
2008,Civil,992
2008,Chemical,786
2008,Electronics,1011
2008,Aerospace,335
2009,Computer Science,1573
2009,Mechanical,1069
2009,Electrical,1150
2009,Civil,952
2009,Chemical,758
2009,Electronics,991
2009,Aerospace,325
2010,Computer Science,1574
2010,Mechanical,1111
2010,Electrical,1188
2010,Civil,969
2010,Chemical,811
2010,Electronics,971
2010,Aerospace,340
2011,Computer Science,1599
2011,Mechanical,1112
2011,Electrical,1243
2011,Civil,991
2011,Chemical,795
2011,Electronics,998
2011,Aerospace,327
2012,Computer Science,1530
2012,Mechanical,1167
2012,Electrical,1267
2012,Civil,1065
2012,Chemical,852
2012,Electronics,1006
2012,Aerospace,319
2013,Computer Science,1516
2013,Mechanical,1226
2013,Electrical,1324
2013,Civil,1056
2013,Chemical,835
2013,Electronics,1046
2013,Aerospace,309
2014,Computer Science,1610
2014,Mechanical,1237
2014,Electrical,1305
2014,Civil,1092
2014,Chemical,897
2014,Electronics,1051
2014,Aerospace,313
2015,Computer Science,1556
2015,Mechanical,1258
2015,Electrical,1329
2015,Civil,1131
2015,Chemical,917
2015,Electronics,1027
2015,Aerospace,319
2016,Computer Science,1588
2016,Mechanical,1230
2016,Electrical,1350
2016,Civil,1108
2016,Chemical,956
2016,Electronics,1083
2016,Aerospace,298
2017,Computer Science,1527
2017,Mechanical,1332
2017,Electrical,1433
2017,Civil,1119
2017,Chemical,973
2017,Electronics,1089
2017,Aerospace,298
2018,Computer Science,1565
2018,Mechanical,1287
2018,Electrical,1454
2018,Civil,1134
2018,Chemical,975
2018,Electronics,1079
2018,Aerospace,293
2019,Computer Science,1631
2019,Mechanical,1374
2019,Electrical,1550
2019,Civil,1162
2019,Chemical,1031
2019,Electronics,1094
2019,Aerospace,301
2020,Computer Science,1644
2020,Mechanical,1337
2020,Electrical,1567
2020,Civil,1250
2020,Chemical,990
2020,Electronics,1064
2020,Aerospace,295
2021,Computer Science,1604
2021,Mechanical,1371
2021,Electrical,1657
2021,Civil,1270
2021,Chemical,1030
2021,Electronics,1136
2021,Aerospace,289
2022,Computer Science,1616
2022,Mechanical,1455
2022,Electrical,1638
2022,Civil,1291
2022,Chemical,1095
2022,Electronics,1085
2022,Aerospace,279
2023,Computer Science,1647
2023,Mechanical,1483
2023,Electrical,1735
2023,Civil,1290
2023,Chemical,1084
2023,Electronics,1121
2023,Aerospace,288
2024,Computer Science,1581
2024,Mechanical,1484
2024,Electrical,1810
2024,Civil,1289
2024,Chemical,1132
2024,Electronics,1121
2024,Aerospace,278
