Year,Branch,Enrollment
2005,Computer Science,1621
2005,Mechanical,984
2005,Electrical,984
2005,Civil,932
2005,Chemical,709
2005,Electronics,986
2005,Aerospace,361
2006,Computer Science,1636
2006,Mechanical,1019
2006,Electrical,1049
2006,Civil,915
2006,Chemical,718
2006,Electronics,983
2006,Aerospace,355
2007,Computer Science,1708
2007,Mechanical,1012
2007,Electrical,1088
2007,Civil,954
2007,Chemical,680
2007,Electronics,1048
2007,Aerospace,370
2008,Computer Science,1732
2008,Mechanical,1042
2008,Electrical,1103
2008,Civil,939
2008,Chemical,701
2008,Electronics,1087
2008,Aerospace,358
2009,Computer Science,1805
2009,Mechanical,1056
2009,Electrical,1190
2009,Civil,905
2009,Chemical,661
2009,Electronics,1081
2009,Aerospace,356
2010,Computer Science,1786
2010,Mechanical,1074
2010,Electrical,1214
2010,Civil,968
2010,Chemical,651
2010,Electronics,1121
2010,Aerospace,372
2011,Computer Science,1805
2011,Mechanical,1040
2011,Electrical,1220
2011,Civil,926
2011,Chemical,670
2011,Electronics,1183
2011,Aerospace,361
2012,Computer Science,1830
2012,Mechanical,1106
2012,Electrical,1291
2012,Civil,956
2012,Chemical,647
2012,Electronics,1180
2012,Aerospace,380
2013,Computer Science,1917
2013,Mechanical,1075
2013,Electrical,1311
2013,Civil,935
2013,Chemical,620
2013,Electronics,1224
2013,Aerospace,365
2014,Computer Science,1953
2014,Mechanical,1064
2014,Electrical,1407
2014,Civil,964
2014,Chemical,646
2014,Electronics,1245
2014,Aerospace,382
2015,Computer Science,2042
2015,Mechanical,1073
2015,Electrical,1377
2015,Civil,962
2015,Chemical,608
2015,Electronics,1318
2015,Aerospace,380
2016,Computer Science,2044
2016,Mechanical,1133
2016,Electrical,1441
2016,Civil,987
2016,Chemical,619
2016,Electronics,1356
2016,Aerospace,378
2017,Computer Science,2010
2017,Mechanical,1120
2017,Electrical,1489
2017,Civil,1009
2017,Chemical,619
2017,Electronics,1424
2017,Aerospace,380
2018,Computer Science,2186
2018,Mechanical,1098
2018,Electrical,1539
2018,Civil,1015
2018,Chemical,591
2018,Electronics,1446
2018,Aerospace,398
2019,Computer Science,2108
2019,Mechanical,1119
2019,Electrical,1684
2019,Civil,978
2019,Chemical,577
2019,Electronics,1451
2019,Aerospace,386
2020,Computer Science,2209
2020,Mechanical,1138
2020,Electrical,1643
2020,Civil,1004
2020,Chemical,566
2020,Electronics,1548
2020,Aerospace,381
2021,Computer Science,2193
2021,Mechanical,1145
2021,Electrical,1731
2021,Civil,972
2021,Chemical,572
2021,Electronics,1577
2021,Aerospace,383
2022,Computer Science,2380
2022,Mechanical,1126
2022,Electrical,1800
2022,Civil,1036
2022,Chemical,550
2022,Electronics,1634
2022,Aerospace,406
2023,Computer Science,2380
2023,Mechanical,1138
2023,Electrical,1849
2023,Civil,1046
2023,Chemical,556
2023,Electronics,1610
2023,Aerospace,394
2024,Computer Science,2416
2024,Mechanical,1165
2024,Electrical,1882
2024,Civil,1016
2024,Chemical,540
2024,Electronics,1730
2024,Aerospace,391
